region,Sex,age,variable,value
The Americas,Women,40-44,BMI < 18.5 kg/m²,0.0187731567764016
The Americas,Women,45-49,BMI < 18.5 kg/m²,0.0160942263396157
The Americas,Women,50-54,BMI < 18.5 kg/m²,0.0153371385145772
The Americas,Women,55-59,BMI < 18.5 kg/m²,0.0155634027006232
The Americas,Women,60-64,BMI < 18.5 kg/m²,0.0160378485879365
The Americas,Women,65-69,BMI < 18.5 kg/m²,0.0168983219603212
The Americas,Women,70-74,BMI < 18.5 kg/m²,0.0190412008106822
The Americas,Women,75-79,BMI < 18.5 kg/m²,0.023757864191033
The Americas,Women,80-84,BMI < 18.5 kg/m²,0.0331900994185183
The Americas,Women,85plus,BMI < 18.5 kg/m²,0.0563430199190305
Eastern Mediterranean,Men,15-19,BMI < 18.5 kg/m²,0.305392613815825
Eastern Mediterranean,Men,20-24,BMI < 18.5 kg/m²,0.158395636338762
Eastern Mediterranean,Men,25-29,BMI < 18.5 kg/m²,0.0882165729950497
Eastern Mediterranean,Men,30-34,BMI < 18.5 kg/m²,0.0551227400487182
Eastern Mediterranean,Men,35-39,BMI < 18.5 kg/m²,0.0403762016680617
Eastern Mediterranean,Men,40-44,BMI < 18.5 kg/m²,0.0335095349638854
Eastern Mediterranean,Men,45-49,BMI < 18.5 kg/m²,0.0304905655696124
Eastern Mediterranean,Men,50-54,BMI < 18.5 kg/m²,0.030311755685107
Eastern Mediterranean,Men,55-59,BMI < 18.5 kg/m²,0.0327720278654819
Eastern Mediterranean,Men,60-64,BMI < 18.5 kg/m²,0.0374247070318742
Eastern Mediterranean,Men,65-69,BMI < 18.5 kg/m²,0.0430324568976894
Eastern Mediterranean,Men,70-74,BMI < 18.5 kg/m²,0.0500568142219976
Eastern Mediterranean,Men,75-79,BMI < 18.5 kg/m²,0.0621886195727341
Eastern Mediterranean,Men,80-84,BMI < 18.5 kg/m²,0.0793832993717393
Eastern Mediterranean,Men,85plus,BMI < 18.5 kg/m²,0.113420104552511
Eastern Mediterranean,Women,15-19,BMI < 18.5 kg/m²,0.215881329625022
Eastern Mediterranean,Women,20-24,BMI < 18.5 kg/m²,0.1467494130419
Eastern Mediterranean,Women,25-29,BMI < 18.5 kg/m²,0.0873249473025225
Eastern Mediterranean,Women,30-34,BMI < 18.5 kg/m²,0.0531621270478013
Eastern Mediterranean,Women,35-39,BMI < 18.5 kg/m²,0.0349978131390256
Eastern Mediterranean,Women,40-44,BMI < 18.5 kg/m²,0.0262540422883086
Eastern Mediterranean,Women,45-49,BMI < 18.5 kg/m²,0.0228923771652422
Eastern Mediterranean,Women,50-54,BMI < 18.5 kg/m²,0.0235363271879492
Eastern Mediterranean,Women,55-59,BMI < 18.5 kg/m²,0.0271607794521472
Eastern Mediterranean,Women,60-64,BMI < 18.5 kg/m²,0.033096640429629
Eastern Mediterranean,Women,65-69,BMI < 18.5 kg/m²,0.0404920953186059
Eastern Mediterranean,Women,70-74,BMI < 18.5 kg/m²,0.0499018915305219
Eastern Mediterranean,Women,75-79,BMI < 18.5 kg/m²,0.0639876925614304
Eastern Mediterranean,Women,80-84,BMI < 18.5 kg/m²,0.0843755928971357
Eastern Mediterranean,Women,85plus,BMI < 18.5 kg/m²,0.124956452818797
Europe,Men,15-19,BMI < 18.5 kg/m²,0.158830933564043
Europe,Men,20-24,BMI < 18.5 kg/m²,0.0667532646450438
Europe,Men,25-29,BMI < 18.5 kg/m²,0.0311948131960893
Europe,Men,30-34,BMI < 18.5 kg/m²,0.0165099020214785
Europe,Men,35-39,BMI < 18.5 kg/m²,0.0103430932013724
Europe,Men,40-44,BMI < 18.5 kg/m²,0.00758220449024755
Europe,Men,45-49,BMI < 18.5 kg/m²,0.00620992792476207
Europe,Men,50-54,BMI < 18.5 kg/m²,0.00561429128175271
Europe,Men,55-59,BMI < 18.5 kg/m²,0.00518193626270005
Europe,Men,60-64,BMI < 18.5 kg/m²,0.00502477064030203
Europe,Men,65-69,BMI < 18.5 kg/m²,0.00471801581328883
Europe,Men,70-74,BMI < 18.5 kg/m²,0.00462623464547466
Europe,Men,75-79,BMI < 18.5 kg/m²,0.00481520044253105
